curpcliente,nombrecliente,paternocliente,maternocliente,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
UINR801499XPWAGR87,Kermit,O'Kelly,Minchinden,1976-08-05,Yucatan,San Juan Bautista Guelache,San Juan Bautista Guelache,Comanche,32631,59008
GVSI276460ENIROK50,Nickola,Shee,Damiata,1990-07-17,Sonora,La Reforma,La Reforma,Shelley,1121,39792
FUMO700770MDOMRY56,Gertruda,Bottini,Stodart,1998-07-28,Sonora,Tixpehual,Tixpehual,Redwing,1948,28174
BRSX243678KZLTJL87,Kellen,Cordie,Kennham,1980-11-05,Baja California,Xicotlan,Xicotlan,Blackbird,58328,86982
RARJ686456NLEAVV90,Milli,Cahalin,MacQuist,1974-10-03,San Luis Potosi,Camerino Z. Mendoza,Ciudad Mendoza,Derek,338,98252
FVAV192769BYVWKJ89,Ester,Bertome,McAllaster,1972-06-18,Nayarit,San Jose Ayuquila,San Jose Ayuquila,Troy,37197,01477
BYVV248717DHHCUJ93,Curcio,Monro,Hiscoe,1984-07-20,Tlaxcala,Ciudad Ixtepec,Ciudad Ixtepec,Mitchell,0459,02253
XFWJ360577QGOPDP80,Doreen,Peterson,Fawkes,1989-12-04,San Luis Potosi,San Miguel el Grande,San Miguel el Grande,3rd,06263,63584
EQNA038377WMYDYF51,Hunt,Drewes,Ratlee,1980-10-17,Puebla,Chiautla,Chiautla,Dennis,47784,66080
HWUW674023WSCCTF98,Bernardine,Chazerand,Brambill,1965-04-19,Hidalgo,Tecoanapa,Tecoanapa,Brown,9,70208
RITL466630QWQJMN92,Harv,Boanas,Hundey,1966-06-11,Guanajuato,Agua Prieta,Agua Prieta,Buhler,9,80279
WQSX397231XWZBEZ74,Libbi,Springer,Valenti,1979-02-22,Tamaulipas,Ixhuatlan del Cafe,Ixhuatlan del Cafe,Orin,4541,56105
UUZZ616083BZFFTE95,Bertram,Faye,Franceschelli,1981-02-06,Morelos,Cuitzeo,Cuitzeo del Porvenir,Stone Corner,90292,20888
NGVF889314ROVUEZ50,Bendix,McBayne,Boughton,1975-11-08,Ciudad de México,Tenampa,Tenampa,Muir,71035,97048
VMWJ348930KXGWKK25,Sloane,Rait,Brettle,1983-10-15,San Luis Potosi,Saltillo,Saltillo,Dapin,6,57207
CTRD476041MDMWOE86,Gretchen,Biskup,Feaster,1991-07-31,Guanajuato,Tunkas,Tunkas,Hanson,0,71004
DNAQ253016PTHCVV48,Teddy,Brodbin,Flaxon,1996-12-03,Baja California,Ixtapangajoya,Ixtapangajoya,Corry,51720,13247
UJQD605866HCKWYD40,Andee,Dunan,Fendlen,2000-03-06,Durango,Macuspana,Macuspana,1st,2,66632
YFMB168100ZFBZIF10,Mahmoud,Larciere,Hundell,1996-11-12,Chiapas,La Huerta,La Huerta,Grasskamp,518,71316
UPDS567782CRQYZM84,Rosamund,Resun,Doram,1983-12-13,Hidalgo,Lagunillas,Lagunillas,Bonner,48836,65179
ILGM835173FXPRUO47,Kora,Melluish,Battams,2003-07-27,Baja California Sur,Ojocaliente,Ojocaliente,Service,1480,08927
ADRR353200BAKIIQ51,Ethan,Ing,Zimmerman,1981-07-31,Tamaulipas,Xochiltepec,Xochiltepec,Westridge,231,46667
XPJF875054KLKUQE21,Branden,Biasotti,Habeshaw,1982-04-20,México,Ures,Heroica Ciudad de Ures,Clove,479,78868
CSAZ459334BGICVI44,Alasdair,Howatt,Handforth,1984-08-13,Colima,Tenango de Doria,Tenango de Doria,Morning,7,47924
SVUW479103IEVSBQ49,Emery,Kirstein,Immer,1982-09-14,Tabasco,Ecatzingo,Ecatzingo de Hidalgo,Summit,20,83303
BXEN294651IEJALR07,Almire,Butfield,Saint,1984-11-09,Nayarit,Muna,Muna,Dahle,53,60519
JFGA569357KONTJA57,Lindie,Sandison,Lascelles,1984-11-28,Baja California Sur,San Juan de Guadalupe,San Juan de Guadalupe,Graedel,70889,28396
ZLKA348343NNLUWL31,Diana,Emmett,Westcott,1984-06-09,Baja California Sur,Valle de Chalco Solidaridad,Xico,Ohio,9,46432
ELKX558028LCJHWV15,Craggie,Cruickshank,Digance,1976-12-31,Colima,Puebla,Heroica Puebla de Zaragoza,Shasta,300,12485
DWVS749143ZCRPXY18,Lamar,Atherley,China,1986-06-02,Chiapas,Coronado,Jose Esteban Coronado,Portage,2902,08106
MBOM579126NPYVOC19,Shelbi,Chiverstone,O'Hegertie,1979-02-04,Queretaro,Santiago Laollaga,Santiago Laollaga,Grover,6686,20289
LCNG670735WAJZVZ64,Rorke,Murtimer,Hamby,1968-04-17,San Luis Potosi,Villa de Cos,Villa de Cos,North,9841,47442
RHGR272850SATVBO61,Caesar,Eagger,Oxherd,1993-05-18,Guanajuato,Chilcuautla,Chilcuautla,Waubesa,26797,78325
XEKT797515UEJEDL22,Gennie,Dubble,Patillo,1980-02-22,Zacatecas,Ozuluama de Mascareñas,Ozuluama de Mascareñas,Redwing,24,17256
TBJD889098QNVRRN59,Catie,Tother,Barnbrook,1976-07-26,Queretaro,Nacori Chico,Nacori Chico,Colorado,8927,16199
YMPH344056TLFHSJ33,Gustie,Chamney,Kinnane,1974-11-21,Puebla,Alvarado,Alvarado,Johnson,0,96484
HXYZ940493BPTCHZ04,Lavina,Bortolotti,Gregoretti,1983-11-22,Nuevo Leon,Tuxtilla,Tuxtilla,Brickson Park,15523,58557
HKZX466101YKDUOY29,Pyotr,Wilby,Ebbage,1968-05-27,Veracruz de Ignacio de la Llave,Chamula,Chamula,Sutherland,52469,81063
JUEB848973OJGUJP78,Jocelin,Graal,Bonwick,2000-01-28,Ciudad de México,Tlachichilco,Tlachichilco,Scoville,38800,49161
SELS240194CHOMCG50,Lavina,Brumwell,O'Towey,1973-01-23,San Luis Potosi,San Juan Yaee,San Juan Yaee,Vidon,176,22008
ZRDX626212URRYFF40,Benoit,Sitch,Oldall,2005-07-29,Zacatecas,Acaponeta,Acaponeta,Dwight,2,96585
IDYW704798KJGMKZ94,Dianne,Woodbridge,Rowbottom,1974-04-30,Colima,Magdalena Yodocono de Porfirio Diaz,Magdalena Yodocono de Porfirio Diaz,Butternut,61287,70571
UMMN483288SCHSDR22,Pacorro,McNally,Mussington,1971-10-17,Tabasco,El Oro,El Oro de Hidalgo,Farragut,04973,67246
CEMI896161VBCBKS36,Victoria,Hammett,Fisby,1991-06-07,Morelos,Calakmul,Xpujil,Jana,17261,29126
SIGE635697AHWFVS37,Tallie,Ades,Fain,1980-11-23,Tabasco,Jalpa de Mendez,Jalpa de Mendez,Blue Bill Park,5672,50992
YTWZ756950TKIZGE93,Orsa,Piscot,Shoosmith,2001-07-31,Aguascalientes,Merida,Merida,Pearson,3266,24664
ZSBI953513GELLBX94,Derwin,Gilmour,Lockton,2005-01-02,Yucatan,San Pedro Ocopetatillo,San Pedro Ocopetatillo,Milwaukee,27,47597
RUMN898170WYYAXY37,Nerty,Gabbat,Smallcomb,1975-02-15,Veracruz de Ignacio de la Llave,Tehuipango,Tehuipango,Monument,274,69373
YNIE212987LFMSNI57,Sisely,Biggin,Garrit,1990-01-24,Baja California,Garcia,Garcia,Macpherson,41836,67947
DQRQ851418SKXBLU13,Nye,Rathmell,Loveridge,1966-10-23,San Luis Potosi,Teapa,Teapa,Little Fleur,59,33395
TRPD439334XUREAD36,Dannie,McIlvenna,Kamen,1995-07-24,Queretaro,Teocaltiche,Teocaltiche,Myrtle,0152,14303
YICW106361OQFYFV00,Mariquilla,Dyton,Rothert,1968-07-20,San Luis Potosi,Santa Cruz Tlaxcala,Santa Cruz Tlaxcala,2nd,69420,87386
MCAJ269167FXQPBC37,Brit,Betham,Ballach,1988-01-19,Sinaloa,Santa Clara,Santa Clara,Havey,5,19090
ZJHE857740TQENCE55,Sonya,Begin,Vanni,1987-03-29,Colima,Inde,Inde,Macpherson,164,77179
CFKD564201RHSWSS09,Jemmy,McGavin,Boyton,1982-03-03,Oaxaca,Divisaderos,Divisaderos,Corben,94,02154
JZHQ815504ZNHFTD22,Grange,Farreil,Gogarty,1992-09-17,Colima,San Marcos,San Marcos,Gerald,8,11771
LCPV927636DQRVCO90,Odella,Collecott,Urch,2001-12-29,Michoacán,Santiago Huajolotitlan,Santiago Huajolotitlan,Boyd,057,53168
EGIZ067456ITQURP05,Karia,Crame,Kruschev,1967-08-25,Nuevo Leon,Juan C. Bonilla,Cuanala,Mesta,27425,12711
UFJW500014QZDABK28,Rockie,Manchett,Purton,2005-01-23,Oaxaca,San Felipe Orizatlan,Orizatlan,Surrey,47648,66873
RWTU558822VRZQKM65,Ignacio,Uman,Collison,1978-05-12,Oaxaca,Ayoquezco de Aldama,Ayoquezco de Aldama,Darwin,53,33749
VOVA624568NDRABR58,Krissy,Presnall,Stubbings,2000-05-14,Nuevo Leon,Tijuana,Tijuana,Thierer,09749,81270
FUVT547645SQMIQP55,Diena,Glashby,Tather,1997-04-02,Chihuahua,Chalchihuitan,Chalchihuitan,Crowley,9,73174
SPLC041662VSFTQV69,Keenan,Bentick,Figgess,1977-02-12,Sonora,Rio Grande,Rio Grande,Lighthouse Bay,82778,01053
YYYK458377IVUWHO95,Gerty,Gamet,Garr,1965-10-02,Nayarit,Soconusco,Soconusco,Bayside,44714,12935
MKQT192463GCUVGP54,Ashleigh,Girardengo,Barhims,1981-07-16,Quintana Roo,Cosolapa,Cosolapa,Bobwhite,5,57736
UNKQ444472ORUWAS59,Natividad,Bettanay,Roddan,1972-10-07,Tamaulipas,El Naranjo,El Naranjo,Northridge,33656,80549
UAWR779408CAZZHZ07,Sandro,McCaighey,Ketts,1971-09-15,Tabasco,Silao de la Victoria,Silao de la Victoria,Graedel,13751,83620
UOLM111400VNJITQ59,Dolli,Fausch,Rowlings,1973-10-25,Tlaxcala,Numaran,Numaran,Reindahl,60858,19855
GEED631752EFHGMY09,Margie,Dana,Samper,2001-09-05,Coahuila de Zaragoza,Huixquilucan,Huixquilucan de Degollado,Rutledge,59553,67048
ECNP349075NXIETH83,Raleigh,Denidge,Bloxland,1983-10-13,Durango,Santo Tomas,Santo Tomas de los Platanos,Emmet,7,99741
HSDS227650FTJQQG00,Selie,Kobpa,Croshaw,1973-10-19,México,Chinampa de Gorostiza,Chinampa de Gorostiza,Esch,86961,84826
PYPJ361471YVRXDQ54,Roldan,Faughey,Menlove,2005-10-25,Colima,Santiago Niltepec,Santiago Niltepec,Lien,2,71568
VXSC567985NTNLQF95,Gordie,Fillingham,Domoney,1974-08-05,Nuevo Leon,Temoac,Temoac,Stang,88,95207
YGRO533585GAHFKA07,Sarina,Greger,Heino,1965-01-08,Veracruz de Ignacio de la Llave,Peñon Blanco,Peñon Blanco,Arapahoe,91,56274
YSLB639759TVFHCH40,Zuzana,Earp,Sakins,1989-01-16,Guerrero,Santa Ana Ateixtlahuaca,Santa Ana Ateixtlahuaca,Armistice,4,22883
GHQR595516PZRSTK47,Lurleen,Blagden,Crossfield,1985-07-22,Aguascalientes,Huatabampo,Huatabampo,Trailsway,22206,89118
VSXR216850FTGUEU52,Malena,Sussans,Valdes,1988-02-23,Guanajuato,Ocampo,Villa Ocampo,Glacier Hill,1,37794
NBNT707058AHBURA17,Dalton,Malins,Graddell,1970-07-14,Guerrero,Chimalhuacan,Chimalhuacan,Macpherson,81943,22710
PZFZ079477VNSWEA68,Harold,Stucke,Stiell,2003-07-27,Tlaxcala,San Miguel Ixitlan,San Miguel Ixitlan,Sachs,14,13869
GJDK696064OMPCUU28,Sukey,Pywell,Munkley,1970-11-08,Baja California,Tonila,Tonila,Goodland,98563,48889
IKRL208546DUDUWO36,Graeme,Keppel,Pugsley,1988-02-09,Sonora,Cardenas,Cardenas,Bobwhite,133,46229
MZCD600724NEFFCJ13,Simon,Norsworthy,Colley,1967-12-05,Oaxaca,Omitlan de Juarez,Omitlan de Juarez,Novick,38495,54039
POPX216314ULTXOQ50,Tonie,Starrs,Lumb,1984-12-13,Veracruz de Ignacio de la Llave,Jacona,Jacona de Plancarte,Continental,7234,38083
AOKX425544WCKKGW35,Mattias,Titford,Keuneke,1983-12-27,Aguascalientes,Teotitlan de Flores Magon,Teotitlan de Flores Magon,Oxford,14150,76994
LNXW591055MFXSET57,Sissy,Jimeno,Van der Hoeven,1982-09-05,Veracruz de Ignacio de la Llave,Santo Domingo Yanhuitlan,Santo Domingo Yanhuitlan,Lyons,75047,55688
OOQQ730062SWQQEF49,Quinta,Teasell,Pleasance,1966-08-14,Guerrero,San Antonio Cañada,San Antonio Cañada,Thompson,987,20184
IPGT813715PJNBIF39,Fowler,Hasely,Elliss,1980-11-18,Colima,Gustavo A. Madero,,Ilene,50,94819
SCCW374578PEZOSO84,Erinna,Cosans,Frisch,1969-06-23,Durango,San Juan Juquila Mixes,San Juan Juquila Mixes,Gulseth,5,69309
GDYT777454AXPIFK25,Anny,Garter,Cremen,1996-10-22,Quintana Roo,San Andres Lagunas,San Andres Lagunas,Longview,98918,63886
OQJO383579TAFZRH90,Eward,Baish,Battin,1987-12-06,Veracruz de Ignacio de la Llave,Santo Domingo Nuxaa,Santo Domingo Nuxaa,Melby,8456,05514
EDVY007119UDYRYJ81,Immanuel,Killik,Voice,1968-01-03,Puebla,Ahuacatlan,Ahuacatlan,Petterle,7008,65195
WYMN412328MPFXQG08,Lance,Rockwill,Haskew,1975-07-25,Tabasco,Santiago Tillo,Santiago Tillo,Forest Dale,02672,35914
OSJO989989ZOCTZZ19,Antonin,Benstead,Pavolini,1985-01-27,Coahuila de Zaragoza,Santiago Ihuitlan Plumas,Santiago Ihuitlan Plumas,Mayfield,24532,27878
FCUS149777OAAGWZ64,Mendie,Aspell,MacParlan,1969-12-09,Oaxaca,Carlos A. Carrillo,Carlos A. Carrillo,Bunting,0,85970
VWKN509056NFJLDW79,Lyndel,Philippson,Leatherland,1999-09-18,Sonora,San Luis de la Paz,San Luis de la Paz,Heffernan,3,95763
GEDJ663356HMKNWN03,Linet,De Vries,Bainton,2004-09-24,Hidalgo,Mazapil,Mazapil,Forster,334,11959
WRVB515352SSLGYT67,Mandy,Walcher,Meneghi,1990-12-05,San Luis Potosi,Tepexco,Tepexco,Welch,4108,79968
RTNH987553IDEZRC05,Meryl,Trouncer,Danford,2004-06-04,Guerrero,Santa Maria Petapa,Santa Maria Petapa,Reindahl,672,13858
BIDP952583RJVJVO76,Flemming,Beams,Tirone,1996-08-07,Chiapas,Cohuecan,Cohuecan,Artisan,7,50081
VXZZ339724XUAVMZ93,Bryna,Fallowes,Fulks,1988-12-30,Tlaxcala,Jocotitlan,Ciudad de Jocotitlan,Maple,83532,78111
JNNU998426IUVGCS92,Molly,Tomowicz,Wilstead,2000-10-08,Quintana Roo,Chalcatongo de Hidalgo,Chalcatongo de Hidalgo,Fairfield,2,30652
NPFS647686LVJWEX65,Bennie,Langlands,Gierardi,1999-09-01,Morelos,Ixhuatan,Ixhuatan,Mallory,33,18667
AAWW217548LHAHAB25,Loralyn,Broadley,Aland,1968-08-19,Ciudad de México,Santiago Suchilquitongo,Santiago Suchilquitongo,Kensington,1175,92440
HOPN247924CECOJI52,Danya,Rogge,Borleace,1998-01-21,Baja California Sur,Tlaltizapan de Zapata,Tlaltizapan,Surrey,8091,02022
IASS382268BJXEPV65,Dieter,Wehden,Sancias,1996-09-02,Tabasco,Ruiz,Ruiz,Ludington,6,34673
HHMJ009866ZNYDNO84,Lian,Hartropp,Doore,1983-08-04,Veracruz de Ignacio de la Llave,San Gabriel Mixtepec,San Gabriel Mixtepec,Sycamore,41441,12400
ZBKI059099PGPZXZ12,Mart,Rex,Canto,1993-09-23,Jalisco,Tacotalpa,Tacotalpa,Spohn,1412,20252
MSJM195696LCTXAQ48,Anson,Peteri,Ellul,2002-09-01,Sonora,Juchitepec,Juchitepec de Mariano Rivapalacio,South,13,97153
NUCN203273FDNRBJ35,Zane,Calton,Chasen,1977-08-14,Guanajuato,Siltepec,Siltepec,Grayhawk,662,15959
QLTZ271529ZMOPCX15,Aila,Guyonneau,Whittet,1980-07-22,Guerrero,Guaymas,Heroica Guaymas,Clarendon,913,65220
PEWV902958YVJQVN74,Husein,Hodge,Valero,1991-09-18,Queretaro,Espinal,Espinal,Alpine,106,77662
NOCQ713810LSCDZK85,Michel,Zanolli,Simonini,1976-07-28,Colima,Tenancingo,Tenancingo,Shasta,85390,86661
QCHR002077SOLCQJ99,Dunn,Eardley,O'Gormley,2005-08-07,Tabasco,Villa Hidalgo,Villa Hidalgo,Vermont,1,35290
DDTX960249DPRXRU60,Kordula,Meads,Surby,1980-12-15,Jalisco,Santa Maria Texcatitlan,Santa Maria Texcatitlan,Golden Leaf,31331,19001
PZPW857909ICXIMC11,My,Lambersen,Bottell,1969-04-20,Morelos,San Antonio Tepetlapa,San Antonio Tepetlapa,Onsgard,5350,45112
LFVH001514PCCCXN26,Wilek,Rudgley,Cullon,1965-11-25,Guerrero,Marin,Marin,Tennessee,20,63818
VFXM407099KNYBLH77,Tuesday,Clarage,Sigward,1984-04-19,Oaxaca,Texcalyacac,San Mateo Texcalyacac,Troy,65741,93602
BMPR174221TVKYGS23,Konrad,Peaker,Armell,2001-11-23,Nayarit,Comondu,Ciudad Constitucion,Milwaukee,7,36664
GCVH890981ONBSTY06,Branden,Helin,Viel,1982-03-13,Baja California Sur,Temoaya,Temoaya,Forest Run,453,49446
IYBU110752SHANIV94,Angelika,Abrahamsohn,Driscoll,2004-06-27,San Luis Potosi,Santa Ana,Santa Ana,Manley,07367,47549
FZON949286CBVYRM86,Marleen,Riggert,Waterhouse,1980-11-07,Chiapas,Sitio de Xitlapehua,Sitio de Xitlapehua,Kim,3202,15014
IDEM836736AZUTET66,Simonette,Manifield,Mackley,1969-08-12,Chiapas,Palizada,Palizada,Ronald Regan,2,72859
YSEC271726YPGGDB91,Phaidra,Hanmore,Von Gladbach,1981-05-16,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,Cherokee,51,53962
UPML211658DGCFWR78,Doug,Liversage,Wenzel,1994-06-29,Puebla,San Antonio de la Cal,San Antonio de la Cal,Northview,9629,26424
HCOY695423RRFVWO22,Elisabeth,Zienkiewicz,Ixer,1994-09-08,Yucatan,San Gregorio Atzompa,San Gregorio Atzompa,Graedel,4431,38576
FSNJ083893YBCIUH88,Dur,Izen,Dibdall,1991-11-10,Tlaxcala,Acatlan,Acatlan,Bartillon,2,30435
XPLK628978POWTQE18,Mireielle,Try,Ayars,1965-07-29,Puebla,San Juan Teposcolula,San Juan Teposcolula,Hansons,5,93551
SVJS663677WNCHIH32,Rhea,Catherall,Bertl,1968-03-23,Tabasco,Eloxochitlan,Eloxochitlan,Wayridge,6,40295
RNWF236231SNUKYQ04,Inigo,Towl,Chicco,1978-12-03,Colima,Yahualica de Gonzalez Gallo,Yahualica de Gonzalez Gallo,Starling,6,59160
FLGU590154VCSGUX04,Daphna,Woodfield,Clash,1972-04-13,Colima,Jesus Maria,Jesus Maria,Ramsey,8,20856
ODSN311022EMCZWV72,Far,Rattery,Staden,2004-02-17,Quintana Roo,Ixtapa,Ixtapa,Brentwood,961,34688
KUPU140442EFGPHR27,Ardelle,Gemnett,Boog,1982-04-08,Tlaxcala,San Bartolome Yucuañe,San Bartolome Yucuañe,Pennsylvania,630,88186
YWDD247736ZGFEWP82,Joice,Mitie,Callam,2003-02-20,Oaxaca,San Pedro Garza Garcia,San Pedro Garza Garcia,Westport,6,85473
XJRE762136IOIDDO90,Gideon,Aldren,Littleover,1976-02-29,Queretaro,Paracho,Paracho de Verduzco,Sugar,82962,55368
BUVP824722QSPRJZ22,Alexia,Minshull,Mattussevich,1986-09-06,Ciudad de México,Santa Maria de los angeles,Santa Maria de los angeles,Lake View,11875,22459
YHTN283263LMVIZV66,Jewel,Vercruysse,Shieber,1997-05-19,Campeche,Hueytlalpan,Hueytlalpan,Sauthoff,71679,91468
VTSK153466XJJUHP58,Charmian,Ciotti,Sherlaw,1974-05-22,Coahuila de Zaragoza,Tlacotepec de Mejia,Tlacotepec de Mejia,Pawling,40,23172
DRWG571818UBXLIC06,Lon,Boncoeur,Gun,1966-10-04,Guanajuato,Timilpan,San Andres Timilpan,Prentice,70,20520
YHYC139887NFCOGQ14,Gaspard,Flemmich,Awin,1965-08-10,Michoacán,Atzalan,Atzalan,Buell,6044,89554
XEXL457395TYHGBC90,Saw,Yeandel,Harper,1966-09-21,Colima,Amatitan,Amatitan,Mcguire,7854,52953
RJHJ136545ECPLVO78,Rosabel,Kuban,Wapplington,1998-12-25,México,Zozocolco de Hidalgo,Zozocolco de Hidalgo,Colorado,0,62419
XBCC157738DWLGXP47,Wilhelmina,Aubury,Massen,1977-03-29,Veracruz de Ignacio de la Llave,Zapotlan el Grande,Ciudad Guzman,Upham,72,63553
RAVH788894DBNQTK67,Joelie,Tyre,Eubank,1971-06-25,Tabasco,Tepeojuma,Tepeojuma,Tony,1,55948
ONVG993237YAIXZD64,Manuel,Barkes,Hansberry,1969-07-26,México,San Pedro Lagunillas,San Pedro Lagunillas,Forest Run,51740,15624
QXDW751823EWDPBK45,Jehu,O'Dogherty,Newnham,1999-06-30,Queretaro,San Jeronimo Silacayoapilla,San Jeronimo Silacayoapilla,Maryland,4,58606
GVLZ177935NGIQIN17,Merell,McTrustam,Clewlow,1985-09-02,Campeche,Cosautlan de Carvajal,Cosautlan de Carvajal,Bunker Hill,91234,78052
HQXR487886OCVCAS51,Reuven,Faint,Korfmann,1995-11-17,Zacatecas,Santa Catarina Lachatao,Santa Catarina Lachatao,Menomonie,752,20696
UWCW933073NUVJKG02,Chad,Matonin,Agar,1977-11-02,Coahuila de Zaragoza,Citlaltepetl,Citlaltepec,Tennyson,666,71160
QZVR926802KMKXGX03,Zorah,Bedinn,Puleston,1995-01-07,Chihuahua,Alcozauca de Guerrero,Alcozauca de Guerrero,Logan,8739,28196
UKWB095513EPNJEH71,Giraud,Marskell,Slessar,1966-03-16,Campeche,Zacatelco,Zacatelco,Corry,2210,41471
HWUD829292LZQTRG72,Aindrea,Blown,Sired,2003-10-06,Michoacán,Chikindzonot,Chikindzonot,Sugar,7320,42177
XOEV845099FJMDRD61,Jillian,Snelman,Swyer-Sexey,2002-06-20,México,Candela,Candela,Bluejay,3745,70678
PSFF744499FQLFMP64,Grenville,Aspell,Crowcum,1977-12-10,Queretaro,Pesqueria,Pesqueria,Debs,5393,04382
WPQR848348ROONAG04,Jordanna,McIllroy,Cumine,1965-06-17,México,Santa Maria Ozolotepec,Santa Maria Ozolotepec,Namekagon,4168,67475
RPWN172476UBRYWQ06,Rae,Prevost,Crockley,1979-08-26,México,San Bernardo Mixtepec,San Bernardo Mixtepec,Fulton,3329,48974
LFHE720462LWZRMA08,Sayer,Duffin,Piele,1969-02-20,Oaxaca,San Martin Itunyoso,San Martin Itunyoso,Burrows,498,45752
OXJE760909MFKYFO42,Stanfield,Duffus,Sibthorp,2003-11-20,San Luis Potosi,San Pedro Sochiapam,San Pedro Sochiapam,Lindbergh,98,61834
BWYU071764XJBRWP64,Alden,Northen,Lorence,2004-03-26,Puebla,Nextlalpan,Santa Ana Nextlalpan,Carioca,0,87047
SOKD983333KICHNC58,Quinton,Ollier,MacPhail,2001-12-23,Hidalgo,Martires de Tacubaya,Martires de Tacubaya,Riverside,14334,48004
KTVT102380VZYFSH13,Gladi,Rupel,Gall,1974-02-10,Guerrero,Santo Domingo Petapa,Santo Domingo Petapa,Tennessee,65,67940
RCSD542453LAZTON41,Ossie,Cuttelar,Dockray,1977-08-12,Hidalgo,El Plateado de Joaquin Amaro,El Plateado de Joaquin Amaro,Johnson,7303,99118
MJXF688435OZDCPE96,Dan,Cozins,Franceschelli,1976-09-07,Nayarit,Ocotlan,Ocotlan,Holy Cross,02,03068
CRHL138760BBTFXX83,Sonny,Sibson,Mawson,1994-04-26,Baja California Sur,San Fernando,San Fernando,Meadow Vale,54,66748
RWRW327816PYWRVO43,Russell,Nibloe,Lucia,1994-04-11,Baja California,Tixmehuac,Tixmehuac,Susan,31,92861
XOLS405428MYMGSP55,Nikaniki,Greensmith,Farrens,2005-07-09,Oaxaca,Coahuitlan,Progreso de Zaragoza,Grayhawk,2,42019
RRDU867521QAKTNX61,Andra,Bricket,Reglar,1999-04-11,Zacatecas,Jaumave,Jaumave,Bashford,5793,99558
GFBZ923170TAYTKV71,Sena,Eagleston,Kellough,1993-01-11,Zacatecas,Santo Domingo Roayaga,Santo Domingo Roayaga,Sachs,8,26614
ZTLI807807TQPCEB21,Amata,Fitton,Beddon,1991-02-05,Durango,Zihuatanejo de Azueta,Zihuatanejo,Hayes,0667,11060
NDFN120203DRLKCE65,Geralda,Lofting,McCarrison,1976-05-29,Tlaxcala,Temascalcingo,Temascalcingo de Jose Maria Velasco,Waxwing,206,06832
ZCVC467401ZSCOIF83,Brandon,Gerriet,Phelan,1983-03-19,Nayarit,Chavinda,Chavinda,Crest Line,8,78881
LNVQ496291XVDHQB26,Alister,Cowdroy,Provis,1974-06-14,Sonora,Doctor Arroyo,Doctor Arroyo,Butterfield,99379,66776
GSPD736087PYGOUG15,Charmion,Vicker,Purry,2001-02-18,Tabasco,Tochimilco,Tochimilco,Karstens,3,91968
UTKR410495DDTKCI57,Shara,McFarlane,Esmond,1976-09-27,Michoacán,Coyotepec,San Vicente Coyotepec,Anzinger,40,37724
