curpcajero,idsucursal,nombrecajero,paternocajero,maternocajero,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
ARLT693026ZBIWNT94,S-00006,Skippie,Leafe,Schroter,1982-11-12,Baja California,Tijuana,Tijuana,Green,4252,34144
VVIJ870123JOXXOZ97,S-00010,Romona,Berlin,Van der Merwe,1993-09-26,Guerrero,Copala,Copala,Hagan,20,43932
EVTM079960EBBABV15,S-00014,Warden,McKearnen,Isaksson,1994-08-17,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Corben,424,79231
FSIE459985FBXPKO50,S-00005,Munmro,Greig,Klammt,1977-01-31,Nuevo Leon,Pesqueria,Pesqueria,Paget,969,72415
OPJV127207QQCIYF39,S-00013,Raquela,Broadhead,Yeoland,1977-08-25,Campeche,Champoton,Champoton,Forest Dale,2,72002
MFNR634709TODWEC74,S-00011,Arman,Cyples,Kelleher,1980-06-29,Coahuila de Zaragoza,Lamadrid,Lamadrid,Fairfield,89,54399
EXLF662077GJZODX04,S-00012,Pablo,Schneidau,Thomann,2006-07-23,Morelos,Cuernavaca,Cuernavaca,Arizona,015,79360
DTTB279535CWFDHC36,S-00007,Tracey,Grigoire,Stainburn,1989-12-17,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Westend,14387,35439
SCUI173392KHABUP09,S-00004,Hadlee,Jochens,Moon,1992-11-01,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Holmberg,75,13060
BMFK584985RDUXON42,S-00006,Sonya,Screeton,Starkings,2001-05-06,Baja California,Tijuana,Tijuana,Mayer,3,33706
JUOH138023YSEHZL13,S-00015,Judie,Poynzer,Tunn,1997-07-12,Hidalgo,Pachuca de Soto,Pachuca de Soto,Golf,0941,32381
LNWE402548BUVACM67,S-00013,Emmie,Wallentin,Timmens,1978-05-24,Campeche,Champoton,Champoton,Commercial,72373,46394
MOBQ406774GYUNRG21,S-00006,Blaire,Lambourne,Willford,1994-09-16,Baja California,Tijuana,Tijuana,Barnett,06,30695
WVHB805529ULPYCE05,S-00013,Nikita,Shinner,Blackmuir,1988-11-15,Campeche,Champoton,Champoton,Brickson Park,3759,85104
NSFY929043USEPEJ60,S-00012,Murdock,Baseggio,Grasha,1990-03-07,Morelos,Cuernavaca,Cuernavaca,Northland,805,60198
XEQW559874VGYMYV87,S-00009,Bern,Gaish,Brunke,2007-05-12,Chihuahua,Juan Aldama,Juan Aldama,Spohn,05693,99183
SGMD727203PNHWIZ27,S-00010,Artair,Ingolotti,Wick,2004-10-01,Guerrero,Copala,Copala,Superior,1,62639
FZMA031131GFSKVG29,S-00008,Balduin,Sheehan,Briton,2006-05-06,Oaxaca,El Espinal,El Espinal,Kropf,880,19854
SCED084724LXGKPW76,S-00009,Charissa,Irons,Gallifont,1991-05-20,Chihuahua,Juan Aldama,Juan Aldama,Kinsman,09134,48902
FEOM200936UUVCOS47,S-00014,Carolann,Whittle,Poyner,1986-08-02,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Badeau,8086,71414
SOCO635942EGICXQ96,S-00001,Cly,Chesson,Bote,1980-10-16,Distrito Federal,N/A,Churubusco,Sachs,81598,39554
NYWE133138PJSSLD33,S-00012,Iormina,Marsh,Francioli,1989-09-03,Morelos,Cuernavaca,Cuernavaca,Pond,9,46417
IBTH491819UOERGO76,S-00001,Adham,Gymblett,Roaf,1982-03-04,Distrito Federal,N/A,Churubusco,Killdeer,07,24971
PSLJ893228FPTSMZ94,S-00010,Kessia,Dosdale,Brokenshire,1975-10-09,Guerrero,Copala,Copala,Jay,691,79584
WXAR294688GHONON30,S-00007,Basilio,Mileham,Azam,2009-01-26,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Nelson,70921,44572
NOMB068163OKHMIX31,S-00007,Gerda,Eburah,Romaine,1989-11-28,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Colorado,9,50904
ZYTR041778LNAKVU12,S-00002,Rhodie,Bugdale,Hollow,2005-09-16,Aguascalientes,Palo Alto,Palo Alto,Dwight,11,88813
AUPQ351692YXKGCX54,S-00007,Eadith,Gambrell,Kimmitt,1983-12-02,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Banding,6,28213
FNBD104348SYLLRF33,S-00003,Ashlee,Krook,Fosdick,1997-12-20,Queretaro,Peñamiller,Peñamiller,Anhalt,91,50623
KCMN880358NLKTNR75,S-00014,Neddie,Decruse,Norrey,1996-09-12,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Ruskin,21118,29728
MABZ529419VILXLM68,S-00009,Anna-diane,Rossbrook,Sellwood,1999-07-08,Chihuahua,Juan Aldama,Juan Aldama,North,6835,35976
DNIL974716RFUYQC47,S-00015,Marcie,Rickis,Cozzi,1978-06-02,Hidalgo,Pachuca de Soto,Pachuca de Soto,Hovde,0721,98265
VDWY755266JKWVVO31,S-00008,Dolly,Wycherley,Soanes,2001-09-06,Oaxaca,El Espinal,El Espinal,Bay,7,52109
YFVK661983QEFFSU71,S-00008,Ardenia,Goult,Collimore,1979-12-21,Oaxaca,El Espinal,El Espinal,Morningstar,8396,99586
RRWT776126KFCYHW35,S-00007,Joellen,Frostick,Garrity,1983-03-15,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Stone Corner,44,67357
DECL135831TNVTKT87,S-00014,Baily,Pentecust,Regardsoe,1979-02-25,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Steensland,57326,73862
WWYZ920316USULSO46,S-00005,Beckie,Morling,Kingswell,1996-05-27,Nuevo Leon,Pesqueria,Pesqueria,Tennyson,79,14762
EAIT862394RYFPLJ06,S-00005,Jewel,Bramhall,Gurley,1977-10-20,Nuevo Leon,Pesqueria,Pesqueria,Moulton,43,24321
LZFV087848MBWIFF13,S-00003,Nico,Heggadon,Sacaze,2008-09-19,Queretaro,Peñamiller,Peñamiller,Almo,438,89933
ZZWG481847NGMFCB35,S-00014,Lisle,Catterson,Hedlestone,1994-11-16,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Fairview,977,71046
RBFS502130YYHIVU93,S-00011,Anne-corinne,McQuaid,Davys,2001-08-28,Coahuila de Zaragoza,Lamadrid,Lamadrid,Burning Wood,2334,69404
VBTS131239LBRRZO36,S-00006,Dotti,Hanford,Sidlow,1998-02-13,Baja California,Tijuana,Tijuana,Maple,50,63794
GWEW042128BVJYLF72,S-00002,Christiane,Ridings,McMaster,1983-01-30,Aguascalientes,Palo Alto,Palo Alto,Mariners Cove,9,39941
DVOC266508VOZGJE35,S-00015,Martica,Bevans,Schoenleiter,2008-01-31,Hidalgo,Pachuca de Soto,Pachuca de Soto,Pennsylvania,34896,31904
EZMN458374ZPKULM61,S-00002,Bobinette,Riceards,Haywood,1987-01-01,Aguascalientes,Palo Alto,Palo Alto,Fremont,6614,25879
BPWR812509QCWTNM83,S-00001,Grace,Nicolls,Andreolli,2005-01-08,Distrito Federal,N/A,Churubusco,Delaware,543,17424
KEUT233395HOZTGN85,S-00013,Tamra,Mitchell,McLanaghan,1981-05-22,Campeche,Champoton,Champoton,Victoria,4457,92196
HKML005081JFBMFU18,S-00008,Becki,Perche,McMeeking,2001-01-02,Oaxaca,El Espinal,El Espinal,Straubel,8427,10556
JWEB460207ZBHLXH32,S-00009,Sutton,Berdale,Langelay,1999-10-09,Chihuahua,Juan Aldama,Juan Aldama,Vera,652,60379
QZAL320645WMJVGP22,S-00007,Ailyn,Parnham,Christoffels,1975-06-16,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Hermina,4,84662
JMCS069600OYWQCA04,S-00005,Justinn,Slocom,Alessandrelli,1985-06-29,Nuevo Leon,Pesqueria,Pesqueria,Vera,60,16765
JYNF267253XWKBLB60,S-00009,Monah,Buney,Defau,1995-07-04,Chihuahua,Juan Aldama,Juan Aldama,Division,28,23936
CODA467980EHXYNF57,S-00009,Nap,Glantz,Yakubovics,2009-03-11,Chihuahua,Juan Aldama,Juan Aldama,Bay,757,25418
DFQN005409QZCMPZ89,S-00002,Gideon,Reimer,Higounet,1990-08-31,Aguascalientes,Palo Alto,Palo Alto,Jana,6,81366
LCRX956190CMUIKV20,S-00003,Marv,Ivanisov,Douce,1982-01-23,Queretaro,Peñamiller,Peñamiller,Forest Run,07520,72839
IDUR948099ASHQSG59,S-00004,Brod,Jenicke,Strainge,1998-10-29,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Alpine,51933,60383
SPOQ071080SFYWYD70,S-00011,Nels,Accombe,Karlik,2010-02-25,Coahuila de Zaragoza,Lamadrid,Lamadrid,Atwood,18,72901
EKHK668174XKWIGQ92,S-00014,Bronnie,Beinke,Leads,1983-01-02,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Karstens,6,12822
UPEN842794VZIKRQ08,S-00010,Alverta,Pfaff,Elson,1977-06-22,Guerrero,Copala,Copala,International,57781,84435
HILV102616OBARUB37,S-00015,Bennett,Edmenson,Wardlaw,1987-10-11,Hidalgo,Pachuca de Soto,Pachuca de Soto,7th,7,26564
WYZQ897925UTSAWM24,S-00005,Julie,Sabberton,Naptin,1997-09-21,Nuevo Leon,Pesqueria,Pesqueria,Kings,63485,12182
VGVC597783GZBAXM66,S-00006,Dusty,Lowten,Maleham,1984-08-26,Baja California,Tijuana,Tijuana,Autumn Leaf,4649,13164
DOQY674783RWDMRA98,S-00015,Glenna,Maffioletti,McKeney,1988-08-07,Hidalgo,Pachuca de Soto,Pachuca de Soto,Mesta,7643,90090
PVYW516318NDUNGK70,S-00002,Jonas,Scragg,Rutgers,2005-04-20,Aguascalientes,Palo Alto,Palo Alto,Laurel,613,53918
DEJT194043GEEBZV91,S-00007,Heath,Trangmar,Tither,1985-10-29,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Chinook,30046,34347
BTOX750859KKSAUY40,S-00004,Burnaby,Shilstone,Poxton,1994-04-15,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Cody,0159,46516
QCYZ405685WYDSTI16,S-00006,Samantha,Stenbridge,Powling,2007-03-08,Baja California,Tijuana,Tijuana,Steensland,4853,59195
KEMW351514MFDXNH24,S-00009,Jose,Cicchetto,Dreier,1994-09-08,Chihuahua,Juan Aldama,Juan Aldama,Morrow,3657,17156
PAPL012695IHTWAJ31,S-00015,Maryellen,Di Biasi,Joubert,2006-11-30,Hidalgo,Pachuca de Soto,Pachuca de Soto,Bowman,5589,54733
WNTH606878OVPIMY82,S-00003,Hillie,Rioch,Breslin,1989-04-22,Queretaro,Peñamiller,Peñamiller,Stang,49,50652
SWQL005635IZXKIC16,S-00003,Ania,Hartright,Kempster,1980-05-14,Queretaro,Peñamiller,Peñamiller,Eagle Crest,9131,46840
YHOC393908ZHODGH16,S-00004,Angel,Pavie,Duckers,1984-08-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Fieldstone,906,53992
DGWA422014IJLIJF35,S-00014,Kristofor,Clabburn,Reihm,1997-08-26,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Carberry,231,13437
CFGB092673SYTTPV75,S-00002,Barnabe,Kedge,Mazella,1983-10-15,Aguascalientes,Palo Alto,Palo Alto,Park Meadow,96,57496
ZPDO478408RHCIUD65,S-00013,Sollie,Queste,Jinkinson,1989-01-06,Campeche,Champoton,Champoton,Maryland,71,88725
OYMA593083JKICJH82,S-00001,Penrod,Redd,Donnersberg,2007-04-19,Distrito Federal,N/A,Churubusco,Anderson,28,84320
HLYG920462LBCJBG10,S-00007,Johanna,Rupel,Simonnin,1997-12-18,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Beilfuss,853,75933
SOJR628519IYEQIF00,S-00012,Lorraine,Aers,Kybbye,1992-12-06,Morelos,Cuernavaca,Cuernavaca,Barby,92050,10496
APJT236596RSUDCK90,S-00009,Maurizio,Bawles,Bullent,2007-04-08,Chihuahua,Juan Aldama,Juan Aldama,Loftsgordon,15705,30185
FYFK513376UVOKUD83,S-00007,Aksel,Elms,Fallens,1993-05-19,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Sherman,7980,36458
GTTR925760QFWGHW37,S-00003,Lazaro,Klimaszewski,Garry,1991-03-27,Queretaro,Peñamiller,Peñamiller,Bay,66,22933
POZV991076MSVFOB18,S-00012,Rosemonde,Phippin,Gravatt,2010-03-06,Morelos,Cuernavaca,Cuernavaca,Shelley,09,42547
MKMQ972555KGJZTD76,S-00005,Michael,Stopp,Creighton,1977-10-01,Nuevo Leon,Pesqueria,Pesqueria,Jackson,58097,29363
QUAD715854CLBMYX48,S-00003,Kathye,Harower,Cromleholme,1998-06-15,Queretaro,Peñamiller,Peñamiller,Manufacturers,155,18374
CJMY825032WKPROL12,S-00001,Merlina,Mote,Bagnell,1988-03-23,Distrito Federal,N/A,Churubusco,Kingsford,67,33777
SVNF666373UWOFYC75,S-00009,Wynny,Edwicker,Tomasian,1983-06-13,Chihuahua,Juan Aldama,Juan Aldama,Trailsway,97497,33285
UBPJ920826MKGWEA28,S-00015,Mair,Vigus,Stockle,1989-12-25,Hidalgo,Pachuca de Soto,Pachuca de Soto,Pennsylvania,4242,22204
HYBY521194ASVIUF14,S-00013,Costanza,Stedall,Mixture,2000-05-18,Campeche,Champoton,Champoton,Holy Cross,053,87901
IGCP971850SVZWPI56,S-00014,Babbie,Linster,Bunclark,1993-11-23,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Sutherland,7655,31555
YWTV256648GIVOVU25,S-00002,Amelita,Martini,Allman,2000-07-09,Aguascalientes,Palo Alto,Palo Alto,Kropf,23,49782
GEME756892QMCGNP44,S-00012,Laurianne,Comello,Sinderson,1989-09-12,Morelos,Cuernavaca,Cuernavaca,Knutson,43,47551
IXEB970537RZVNHM95,S-00013,Elden,Mennear,Ball,2000-01-18,Campeche,Champoton,Champoton,Springs,1785,91374
EIAH480357WPIZKW34,S-00001,Jourdain,Biermatowicz,Brewitt,1985-11-21,Distrito Federal,N/A,Churubusco,Russell,21,90004
VBRU716590KKBTCJ44,S-00008,Raye,De Mitris,Piscopello,2009-07-30,Oaxaca,El Espinal,El Espinal,Pawling,308,28162
ZWBS856626HJDKKY65,S-00012,Aveline,Butteris,Neaverson,1993-08-23,Morelos,Cuernavaca,Cuernavaca,Crest Line,645,37905
DHSZ714610HRJECA37,S-00011,Oliy,Jordan,Beauchamp,1996-04-12,Coahuila de Zaragoza,Lamadrid,Lamadrid,Gulseth,36,28555
AKPS096087BSYYUL67,S-00013,Darice,Halifax,Fall,1985-08-05,Campeche,Champoton,Champoton,Amoth,6,15851
GEXP258493RDMUCR62,S-00006,Theodora,Ovens,Canet,2001-02-28,Baja California,Tijuana,Tijuana,Elmside,31629,52471
QXCR613996VHDMJV16,S-00015,Julieta,Bowell,Brennans,1977-03-15,Hidalgo,Pachuca de Soto,Pachuca de Soto,Rieder,15078,28905
YYTN231277RUGCBN71,S-00015,Erwin,Willatts,Vallack,2003-01-17,Hidalgo,Pachuca de Soto,Pachuca de Soto,Mallard,8755,64039
SXYL170974DRINHC57,S-00010,Carla,Bunstone,Dursley,2000-09-16,Guerrero,Copala,Copala,Waywood,14534,19959
XIZA247776GYHYBS15,S-00012,Helaina,Godspeede,Darleston,1977-12-26,Morelos,Cuernavaca,Cuernavaca,Packers,28688,68983
TSWY364721PVJYHA88,S-00014,Mariya,Mallock,Dawkins,2009-10-30,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Ohio,81974,30329
WJHU617721WTUFUN12,S-00008,Hamil,Strelitzer,Brumfitt,1980-01-14,Oaxaca,El Espinal,El Espinal,Oak Valley,14381,75745
ZSJN565359XLPTCX78,S-00012,Adele,List,Hazle,1988-02-21,Morelos,Cuernavaca,Cuernavaca,Oriole,4,98209
WDMZ118026SFZGGH97,S-00003,Anastasie,Hacquoil,Blanchflower,1979-05-18,Queretaro,Peñamiller,Peñamiller,Forest Dale,1320,24730
KKHG958210LYXYAN65,S-00013,Donnie,Rozsa,Adhams,2009-02-15,Campeche,Champoton,Champoton,Waxwing,7067,91033
HXGW034714JFYHQT00,S-00012,Antonetta,Banes,Hedylstone,2006-05-21,Morelos,Cuernavaca,Cuernavaca,Eastwood,97,96549
RBCB361757XPHCCA19,S-00006,Wallache,Izakoff,Swithenby,1995-08-16,Baja California,Tijuana,Tijuana,Portage,15907,58788
PPIT450475ERAXDH40,S-00015,Chrysler,Lamonby,Winter,2002-07-15,Hidalgo,Pachuca de Soto,Pachuca de Soto,Grayhawk,4707,24408
XXBP852159GVXAOH69,S-00015,Glynn,Yakubowicz,Odeson,1983-01-08,Hidalgo,Pachuca de Soto,Pachuca de Soto,Stoughton,52,15102
POBU636159SZAOIN33,S-00009,Joseito,Pecha,Schankelborg,2004-04-20,Chihuahua,Juan Aldama,Juan Aldama,Blue Bill Park,240,51472
FGFG673875OGGFJU29,S-00004,Martynne,Roberds,Binley,1982-08-13,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Atwood,726,91568
MMST386953PVUPSE94,S-00004,Jacinda,Brandin,Maw,1997-11-17,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Veith,678,66509
RLHC611645MLMORL50,S-00012,Vaclav,Idell,Eidelman,1994-04-04,Morelos,Cuernavaca,Cuernavaca,Carberry,3,88355
BEXO680211VKEAOJ23,S-00013,Rriocard,Stichall,Cawdery,1984-06-21,Campeche,Champoton,Champoton,Lunder,00147,12660
MPBL342637XEYEXE87,S-00004,Kelvin,Danilyuk,Pearn,1976-11-18,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,South,45003,27093
XQTW766480SGWAHF82,S-00006,Chanda,Simonnet,Huddles,1987-05-11,Baja California,Tijuana,Tijuana,Walton,55,57483
JHYT417050RIXBON18,S-00014,Red,Boutflour,Cottey,1993-01-28,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Steensland,0,40881
GUOW277502FTPWNX66,S-00009,Elsbeth,Reinbeck,Basil,1993-11-20,Chihuahua,Juan Aldama,Juan Aldama,David,86,22266
SVNP794360OTNGKO96,S-00006,Lebbie,Sokale,Gaunt,1993-10-07,Baja California,Tijuana,Tijuana,Colorado,161,80046
JAUA895732VQDCUU21,S-00004,Roselle,Jaggi,Pearlman,2000-08-31,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Browning,7,31515
IQIR301388CWIROL62,S-00015,Verina,Colerick,Renouf,1988-04-01,Hidalgo,Pachuca de Soto,Pachuca de Soto,Glendale,5,84593
JKPH089865WNKXIP76,S-00011,Carlye,Semour,Sprules,1987-11-22,Coahuila de Zaragoza,Lamadrid,Lamadrid,Derek,1218,91125
GIPW347465CHNWIR80,S-00008,Winni,Matches,Armitt,2002-01-12,Oaxaca,El Espinal,El Espinal,Donald,436,44675
PEII523372ECFNIP13,S-00009,Gayel,Hamley,Losty,1993-02-07,Chihuahua,Juan Aldama,Juan Aldama,Hollow Ridge,07428,89131
ILYZ641199YMLXDC02,S-00005,Ardelle,Yarker,Taks,1982-02-20,Nuevo Leon,Pesqueria,Pesqueria,Mcbride,3778,67435
OTHH484189ZBATMN81,S-00005,Cindee,Tadlow,Bignold,1982-04-05,Nuevo Leon,Pesqueria,Pesqueria,Bunker Hill,44,33859
ASVG936753JYQOFA13,S-00001,Rachael,Dunston,Scopes,1982-05-14,Distrito Federal,N/A,Churubusco,Raven,621,74388
EMRC998871COMQQB84,S-00010,Trumann,Lockhurst,Russ,1980-12-04,Guerrero,Copala,Copala,Graceland,39,62940
QXHW318727CZKUGG15,S-00009,Natalina,Gotcliffe,Monkton,2006-12-16,Chihuahua,Juan Aldama,Juan Aldama,Messerschmidt,95709,99741
EGZP449453XDIPRY87,S-00006,Nestor,Hatherall,Bambury,1980-05-06,Baja California,Tijuana,Tijuana,Sloan,46,27014
ORMV909981WXTKOM19,S-00005,Renee,Goldup,Took,1977-04-23,Nuevo Leon,Pesqueria,Pesqueria,Thierer,828,79687
VVDG928430TBMBIS71,S-00001,Melvyn,Shardlow,Lewsey,1997-11-04,Distrito Federal,N/A,Churubusco,Mccormick,5,97952
IYFH255570CXXLHH54,S-00003,Trixi,Trengrove,McCullum,1992-11-11,Queretaro,Peñamiller,Peñamiller,Nobel,05,28280
JHLA916495HTVBZG87,S-00010,Geri,Bezley,Taylo,1984-05-18,Guerrero,Copala,Copala,Ronald Regan,58095,82325
OTNS500696YJNQPS54,S-00011,Ingaberg,Balmann,Diggles,1997-09-11,Coahuila de Zaragoza,Lamadrid,Lamadrid,Fairfield,059,46193
XDHK892113CWSPTU95,S-00002,Lesya,Tolcher,Filov,1975-09-21,Aguascalientes,Palo Alto,Palo Alto,Goodland,8917,59425
AURD579866DTUYLM37,S-00014,Albina,Landman,Riha,2002-04-07,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Mallard,28920,50737
