curpgerente,idsucursal,nombregerente,paternogerente,maternogerente,fechanacimiento,estado,ciudad,colonia,calle,numero,codigopostal
JPKM447146CCRDUJ89,S-00003,Fara,Hazleton,Frickey,1984-12-05,Queretaro,Peñamiller,Peñamiller,Summit,026,12972
EVFH403657EFBTWN62,S-00013,Melany,Lotze,Guilliland,1991-05-04,Campeche,Champoton,Champoton,Autumn Leaf,790,08424
BJCX049366MDQAEU17,S-00006,Cindi,Luquet,Brittian,1991-05-04,Baja California,Tijuana,Tijuana,Waxwing,242,25204
THHW086153BLFLDA19,S-00007,Cassy,Rainy,Dealtry,1999-03-29,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,School,914,21558
EOTG337141OWIDCC77,S-00007,Lu,Sier,Witts,1981-10-22,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,North,909,34074
GKYA389665SIJSED59,S-00011,Pansie,Cantu,Filipic,1976-02-06,Coahuila de Zaragoza,Lamadrid,Lamadrid,Florence,892,47423
LBAD312364HHJTKF42,S-00001,Lexis,McCosh,Mossom,1975-04-24,Distrito Federal,N/A,Churubusco,Oriole,375,44106
VNAY598734VQHLNF55,S-00014,Sonny,Bruniges,Fergie,1971-12-25,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Stone Corner,447,61615
KBND245623IFSMFF29,S-00008,Giacomo,Huntar,O'Hogertie,1990-01-07,Oaxaca,El Espinal,El Espinal,Oakridge,523,17735
CTTP910587PZTDWM00,S-00008,Randy,Ramsby,Kitchaside,1998-09-29,Oaxaca,El Espinal,El Espinal,4th,980,41396
ZTFT019420XMWZGU48,S-00015,Eveline,Ilymanov,Yuryshev,1995-10-19,Hidalgo,Pachuca de Soto,Pachuca de Soto,Charing Cross,761,97279
XHIS778931JLOYNM23,S-00008,Kinny,Caulcott,Doles,1979-04-17,Oaxaca,El Espinal,El Espinal,Oneill,542,64300
TBAC051964PNGDUO51,S-00006,Wilone,Hakes,Mocquer,1993-08-10,Baja California,Tijuana,Tijuana,Bartillon,462,07564
ZAIX215193ZOOGIO81,S-00011,Fionnula,Pashbee,Cockling,1974-10-28,Coahuila de Zaragoza,Lamadrid,Lamadrid,Sloan,960,91027
SJKH659833WDQOPW55,S-00004,Gerick,Mackstead,Albro,1983-09-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Lakewood Gardens,501,89061
ORFS357806HEYJRT45,S-00001,Sholom,Kubal,Dinnies,1988-12-31,Distrito Federal,N/A,Churubusco,Lotheville,880,05098
LXWI971257UIEJXD20,S-00010,Tobit,Boyne,Smoughton,1973-05-23,Guerrero,Copala,Copala,Park Meadow,197,28304
YXYY410846QPXPPI94,S-00005,Putnam,Story,William,1978-07-17,Nuevo Leon,Pesqueria,Pesqueria,Rigney,468,95776
XQJK243523KUTOTT70,S-00010,Andreana,Moden,Banfield,1972-09-29,Guerrero,Copala,Copala,Dunning,264,76123
PBVT593476MCJEWQ61,S-00003,Rhetta,Trillow,Flipsen,1972-12-10,Queretaro,Peñamiller,Peñamiller,Brentwood,892,10040
VMHG481187IGHPXH66,S-00002,Francyne,Pollock,Soane,1974-05-09,Aguascalientes,Palo Alto,Palo Alto,Doe Crossing,907,17774
YRCG667535WAWKFN17,S-00006,Omero,Ibbs,Pippin,1987-09-27,Baja California,Tijuana,Tijuana,Prentice,727,91984
TEWN185672XUZQFH16,S-00009,Tine,Perfect,Van't Hoff,1994-05-27,Chihuahua,Juan Aldama,Juan Aldama,Loomis,840,26129
NBUH853096HTFPYV37,S-00013,Molly,Jesse,Adelman,1996-03-01,Campeche,Champoton,Champoton,Esch,268,25295
AJXW995933KWONEU55,S-00011,Lewes,Verrick,Deely,1988-07-06,Coahuila de Zaragoza,Lamadrid,Lamadrid,Lyons,448,78838
FDKY705045XCIWEO53,S-00010,Yvette,Farrall,Narbett,1990-08-04,Guerrero,Copala,Copala,Petterle,677,65942
LWVC621808UKPJIK64,S-00010,Fayina,Sharp,Gibbetts,1986-04-22,Guerrero,Copala,Copala,Cardinal,954,30562
GWOX190194PLOXTR20,S-00008,Rozalie,Archibould,Blackader,1972-01-05,Oaxaca,El Espinal,El Espinal,New Castle,179,89366
QCEY378044ZRKUNL53,S-00007,Renate,Caddell,Moncreiff,1981-02-13,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Declaration,233,76167
PUCF968343JRUFLV05,S-00013,Lyndell,Grishanov,Outlaw,1999-05-03,Campeche,Champoton,Champoton,Vidon,937,91671
YKVS276583ZUEQWW74,S-00005,Audre,Salatino,Fishley,1997-09-14,Nuevo Leon,Pesqueria,Pesqueria,Talmadge,529,17525
ZUBY978318EGPTEC65,S-00010,Chelsae,Raulstone,Bahde,1977-04-27,Guerrero,Copala,Copala,Larry,560,11622
XNAX444532PPDORN35,S-00011,Codie,Masserel,Leahey,1970-11-10,Coahuila de Zaragoza,Lamadrid,Lamadrid,Havey,789,05481
BYZQ688263RWKKBZ56,S-00009,Briny,McDonnell,Flintoft,1996-10-27,Chihuahua,Juan Aldama,Juan Aldama,Almo,034,34383
BYXW070479RUNHMZ61,S-00011,Britni,Kealy,Willerton,1999-01-02,Coahuila de Zaragoza,Lamadrid,Lamadrid,1st,858,72964
QIVN413520XXDZBH41,S-00001,Moishe,Chatten,Poll,1973-09-20,Distrito Federal,N/A,Churubusco,Ramsey,366,67359
BOTK768996KYCLRJ83,S-00005,Tana,Lantoph,Stutard,1976-07-05,Nuevo Leon,Pesqueria,Pesqueria,Riverside,869,15675
PALZ856764UUOXPA68,S-00001,Carmelina,McGillreich,Bowring,1988-10-13,Distrito Federal,N/A,Churubusco,High Crossing,987,64981
VZUA542343RHJDSN15,S-00014,Rafaelita,Tytterton,Ind,1978-03-03,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Oak Valley,436,57890
PAJZ312859HKHVWD65,S-00005,Lynna,Dewar,Broadbridge,1984-09-04,Nuevo Leon,Pesqueria,Pesqueria,Oakridge,991,07100
QWKZ665087KZEHQO42,S-00007,Corri,Authers,Bagshaw,1996-09-23,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Trailsway,579,99619
FRGV299766JHIBHA34,S-00006,Tine,Dear,Persey,1992-06-03,Baja California,Tijuana,Tijuana,Sage,899,86058
QPCS313155VZIJRO74,S-00012,Karylin,Farrand,Hurlston,1986-01-02,Morelos,Cuernavaca,Cuernavaca,Warner,420,79291
YFLY632520BDHDSN47,S-00008,Britta,Harmston,Belitz,1979-09-10,Oaxaca,El Espinal,El Espinal,Southridge,302,93265
NDHK401653MMYCGD96,S-00009,Malachi,Rendell,Drewry,1972-04-29,Chihuahua,Juan Aldama,Juan Aldama,Myrtle,548,14734
DNDU287498HKWDYA63,S-00001,Myrtice,Ridehalgh,Kobpa,1985-08-30,Distrito Federal,N/A,Churubusco,Heath,155,94811
UJQN182301OMDUAF20,S-00008,Westbrook,Harmston,Jennaroy,1980-07-10,Oaxaca,El Espinal,El Espinal,Bonner,104,24996
HSWX469769TDLBQP63,S-00002,Val,Pietroni,Gerber,1996-04-18,Aguascalientes,Palo Alto,Palo Alto,Fulton,984,57489
LFFX363012VFCVAK74,S-00007,Sibyl,Moulin,Licciardello,1984-02-20,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Veith,400,40858
UQSX619639UPGAJH58,S-00013,Eunice,Crapper,Isted,1970-12-12,Campeche,Champoton,Champoton,Marcy,899,16868
MSZM546022YSXQMA67,S-00013,Debee,Cremins,Jerromes,1987-06-13,Campeche,Champoton,Champoton,Reinke,918,63077
TIQB395021ATYBAU56,S-00015,Dominick,L'argent,Oloman,1978-03-30,Hidalgo,Pachuca de Soto,Pachuca de Soto,Badeau,528,31725
GRDR454013QTXBIF88,S-00007,Clevey,Cisson,Stonner,1986-10-16,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Kenwood,345,84861
GRJE697260KKWCBC27,S-00014,Fredi,Fiorentino,Pryell,1970-12-27,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Sachs,044,78043
XBYC711461PJLWVP60,S-00009,Lamar,Ritmeier,Hinrichs,1990-05-13,Chihuahua,Juan Aldama,Juan Aldama,Westerfield,342,30882
RPLK043914GHWWNR11,S-00015,Zach,Duker,Crawshay,1994-11-20,Hidalgo,Pachuca de Soto,Pachuca de Soto,Texas,962,45531
HKVS477228BWSECK67,S-00012,Darcie,Stones,Lauderdale,1991-10-29,Morelos,Cuernavaca,Cuernavaca,East,555,27376
BCDG700772LLYPYZ93,S-00013,Erhard,Napleton,Toolin,1974-01-18,Campeche,Champoton,Champoton,Lyons,731,01834
CZAV186169LPTJDJ11,S-00008,Sloan,Vahey,Gaffey,1986-02-05,Oaxaca,El Espinal,El Espinal,Dorton,105,75976
MWIO204222PATIBM13,S-00010,Pierrette,Wakley,Petcher,1993-06-30,Guerrero,Copala,Copala,Holy Cross,833,46941
AKXJ714726OKSKSX99,S-00013,Dre,Quested,La Torre,1990-09-28,Campeche,Champoton,Champoton,Melvin,776,17191
TGGC224988WIXTWX57,S-00006,Nessy,Manby,Dalglish,1982-12-21,Baja California,Tijuana,Tijuana,Melvin,722,89240
NPKN616385QKSUAC45,S-00001,Jemmie,Hanburry,Gildroy,1979-04-25,Distrito Federal,N/A,Churubusco,Anderson,776,10656
RQRJ617279SEECFW70,S-00006,Hermina,Thomelin,Triggle,2000-04-19,Baja California,Tijuana,Tijuana,Kensington,430,59298
EGHW002290TKPZUT57,S-00010,Evan,Kettley,Lantoph,1978-10-01,Guerrero,Copala,Copala,Porter,310,74922
XGVV848357MPLMSY60,S-00007,Patrice,Ryding,Zorer,1994-09-22,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Randy,052,67988
LHZH386817AXGHKL42,S-00007,Iver,Ege,Wallhead,1982-08-30,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Linden,730,11191
AQJM289061FJFNJQ54,S-00015,Worth,Daglish,Eddolls,1973-12-22,Hidalgo,Pachuca de Soto,Pachuca de Soto,3rd,840,03774
SRYN483050HEDJUJ21,S-00005,Sauncho,Ondrousek,Glazzard,1985-01-18,Nuevo Leon,Pesqueria,Pesqueria,Morrow,394,96943
FSNB333277JRZVSM90,S-00011,Faith,Bencher,Scantlebury,1992-08-27,Coahuila de Zaragoza,Lamadrid,Lamadrid,Barby,514,88359
XATA299766YVIVZD83,S-00003,Kora,Kleis,Siemon,1977-08-18,Queretaro,Peñamiller,Peñamiller,Valley Edge,634,18182
OEKT738492RLPHXZ33,S-00010,Doria,Pearman,Elsop,1977-01-01,Guerrero,Copala,Copala,Annamark,106,22887
OJOU882416SNMDEP69,S-00004,Murdoch,Mico,Manssuer,1981-07-16,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,4th,352,97387
UJNP455257GTUFNW76,S-00002,Durante,Leport,Garrigan,1997-12-13,Aguascalientes,Palo Alto,Palo Alto,Quincy,774,75395
ZICX996476DGCCTS13,S-00007,Sumner,Gertz,Streets,1978-12-21,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Crest Line,392,75809
CYNM325903ZCGCCJ84,S-00014,Marianna,Wittrington,Brou,1997-10-11,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Susan,456,23709
GNPW543239VLPWCY55,S-00011,Eda,Delion,Barkaway,1972-05-08,Coahuila de Zaragoza,Lamadrid,Lamadrid,Stephen,426,54307
IPRX599969MIMEGB36,S-00014,Ban,Goshawk,Hellwing,1988-01-28,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Graceland,436,46375
IPGJ919883DUILSF60,S-00006,Rock,Wildey,Kaye,1974-09-11,Baja California,Tijuana,Tijuana,Lillian,553,95076
SKLL479720BVXDOL77,S-00013,Clarissa,Fanshawe,Baudins,1975-02-10,Campeche,Champoton,Champoton,Red Cloud,199,47893
GREC314140STNRKF51,S-00005,Jaime,Connechie,Rustan,1979-07-11,Nuevo Leon,Pesqueria,Pesqueria,Vernon,815,29617
XYFP392225IFLCBQ29,S-00002,Chaim,Litchfield,Keetch,1996-04-09,Aguascalientes,Palo Alto,Palo Alto,Merchant,836,77930
SSFQ629098AXJXBG90,S-00002,Hale,Jorin,Odney,1987-08-19,Aguascalientes,Palo Alto,Palo Alto,Thackeray,343,95088
NQMX163878UZOVEW70,S-00009,Claudelle,Dalgarno,Ramshay,1998-11-12,Chihuahua,Juan Aldama,Juan Aldama,Schurz,219,27471
GZEQ199371OGHKJH29,S-00006,Marigold,Tizzard,Pineaux,1983-09-27,Baja California,Tijuana,Tijuana,Longview,175,23122
XCAY770193EKNVBP42,S-00015,Ernie,Poulston,Mangan,1984-10-09,Hidalgo,Pachuca de Soto,Pachuca de Soto,Gina,542,58437
HBSH535172ZWNDBF03,S-00014,Adelheid,Le Estut,Shoreman,1999-12-01,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Namekagon,961,02947
CHFE416799EWPSOO87,S-00012,Carmel,Vyse,Casassa,1981-08-12,Morelos,Cuernavaca,Cuernavaca,Parkside,935,02192
ELPR838699FHIZUG40,S-00003,Maurene,Clemon,Farrer,1979-02-20,Queretaro,Peñamiller,Peñamiller,Haas,045,35347
ITIK119923DSFDYB40,S-00003,Tiler,Klass,Procter,1993-01-17,Queretaro,Peñamiller,Peñamiller,Anzinger,941,78136
ERSV604666OFVGFF00,S-00007,Blair,Waples,Pluthero,1982-10-13,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Oneill,266,13213
MQGM719435TLACVG64,S-00001,Coraline,Broe,Bucknall,1976-06-17,Distrito Federal,N/A,Churubusco,Randy,130,75232
DSRS123953VEVXNZ86,S-00008,Tessy,Fenge,Faichnie,1984-04-30,Oaxaca,El Espinal,El Espinal,Lawn,478,51497
JKFL910354GSOFDC30,S-00002,Nappy,Anthon,Semeradova,1994-01-02,Aguascalientes,Palo Alto,Palo Alto,Tennessee,817,36641
CUOL270933OUWQXU61,S-00014,Bobbette,Hammonds,Face,1992-04-07,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Artisan,339,54454
URYU331621CAWILQ37,S-00005,Charlena,Argue,Dingle,1987-07-23,Nuevo Leon,Pesqueria,Pesqueria,Sutteridge,511,13218
OYTC146537HFCCFQ35,S-00005,Caressa,Sedcole,Scandrite,1976-09-24,Nuevo Leon,Pesqueria,Pesqueria,Memorial,819,71249
LUKY729180KKXFDG06,S-00001,Concordia,Winskill,Upwood,1993-04-05,Distrito Federal,N/A,Churubusco,Hanover,430,26491
UBXS346445AJJSRS63,S-00011,Tammy,Larose,Garrity,1999-11-03,Coahuila de Zaragoza,Lamadrid,Lamadrid,Helena,642,88279
LAHB370791CIVFVS89,S-00009,Bud,Attrie,Meneyer,1993-03-24,Chihuahua,Juan Aldama,Juan Aldama,Mifflin,077,84337
ASIB429638ALMQPX19,S-00011,Avigdor,Faltin,Kroin,1970-08-15,Coahuila de Zaragoza,Lamadrid,Lamadrid,Twin Pines,088,74654
UEKN616539EREBFT17,S-00014,Randall,Pryn,Levick,1972-07-26,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Kim,142,95619
WJFU687490OUCPAB15,S-00011,Johnnie,Killwick,Reichartz,1976-12-25,Coahuila de Zaragoza,Lamadrid,Lamadrid,Golf View,415,30444
NJPP004378DZQTKA95,S-00002,Boniface,MacQuarrie,Kilgallon,1987-03-02,Aguascalientes,Palo Alto,Palo Alto,Talisman,691,20692
NEXS517747ZJWTBC46,S-00004,Fiann,Liveley,Dyke,1985-09-08,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Sutherland,247,96393
VRQX920543AKDWTC37,S-00007,Regan,Melato,Stickley,1982-01-28,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Hoffman,438,34902
GJYZ895689LGUUZQ66,S-00008,Raeann,Hapke,Lickorish,1993-02-08,Oaxaca,El Espinal,El Espinal,Monument,106,15094
RGDR680424VPIEHQ17,S-00008,Barbie,Seeds,Foskin,1996-03-03,Oaxaca,El Espinal,El Espinal,La Follette,736,71579
RTKP272427MNJFTL01,S-00005,Libbey,Licciardello,Kerrich,1994-07-15,Nuevo Leon,Pesqueria,Pesqueria,Fulton,014,53368
PPUR588602ORXBQQ39,S-00013,Alameda,Lilford,Maiden,1979-03-04,Campeche,Champoton,Champoton,Blackbird,799,39329
UPVK515353ZPFJDT32,S-00005,Britte,Tadgell,Roof,1987-08-15,Nuevo Leon,Pesqueria,Pesqueria,Menomonie,852,15808
FRXY911355LTEEMZ31,S-00012,Erminia,Casol,Hounson,1979-06-24,Morelos,Cuernavaca,Cuernavaca,Chinook,347,36068
IYFO063068IIVWIF82,S-00014,Syman,Farrance,Hauger,1978-10-12,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Nobel,174,25414
QOWU238452OVTQEE77,S-00013,Reuben,Peirce,Maryon,1998-07-07,Campeche,Champoton,Champoton,Stephen,939,50448
AVXV948455GXHOEK17,S-00007,Adela,Gebuhr,Ingman,1971-01-02,Mexico,Naucalpan de Juarez,Naucalpan de Juarez,Ohio,323,40967
KUPE145399MGYKVF91,S-00002,Yves,Connelly,Foakes,1972-03-18,Aguascalientes,Palo Alto,Palo Alto,Mendota,425,27056
PDPD513651VVYZZB35,S-00015,Vick,Carleton,Shore,1999-09-07,Hidalgo,Pachuca de Soto,Pachuca de Soto,Starling,915,48608
RNBW518599NZOCEB33,S-00008,Ban,Ambroix,Poor,1971-03-04,Oaxaca,El Espinal,El Espinal,Montana,409,98132
BRZH087441UCSIMZ06,S-00002,Dennis,Evert,Uzelli,1978-09-14,Aguascalientes,Palo Alto,Palo Alto,Independence,230,54411
BJZG583580GHNICW93,S-00014,Alvera,Tomney,Najara,1972-07-30,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Darwin,607,30022
BRWE712161BQGZBP43,S-00015,Rand,Godbert,MacAne,1982-03-17,Hidalgo,Pachuca de Soto,Pachuca de Soto,Dexter,185,37169
AKFU856228KSKPZY16,S-00015,Bird,Basey,Khalid,1976-10-15,Hidalgo,Pachuca de Soto,Pachuca de Soto,Harper,503,15006
USEN567779UBEPNF44,S-00011,Ronnie,Woodgate,Gilsthorpe,1976-01-28,Coahuila de Zaragoza,Lamadrid,Lamadrid,Mccormick,172,51196
CZDT292028RLRRIL84,S-00001,Eada,Maidment,Kalf,1976-07-13,Distrito Federal,N/A,Churubusco,Everett,078,36713
OLUT022848KXKQON47,S-00004,Dorris,Nendick,Gopsell,1998-04-11,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Mesta,797,37047
XMZI700745GJYYZS66,S-00014,Linzy,Burnhill,Leah,1979-02-28,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Elgar,333,72134
STTQ223810KOWBPI93,S-00001,Holli,Guthrie,Feldhammer,1970-09-30,Distrito Federal,N/A,Churubusco,Bunker Hill,892,76802
KEDF600168GGPIBQ67,S-00011,Avictor,Odam,Reinbach,1975-09-26,Coahuila de Zaragoza,Lamadrid,Lamadrid,Holy Cross,904,13800
KLSK679095ILEMKH62,S-00014,Edward,Crannell,Buddle,1989-03-11,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Carioca,707,54320
KHMB977414EJIVDM16,S-00009,Normie,Astridge,Buckley,1987-08-08,Chihuahua,Juan Aldama,Juan Aldama,Holmberg,347,76654
TMXE809738AYGAYK41,S-00009,Dillon,Sindell,Pacitti,1974-09-06,Chihuahua,Juan Aldama,Juan Aldama,Larry,477,26137
NQRD015384BGCQFU08,S-00011,Rad,Peters,Beauly,1988-03-03,Coahuila de Zaragoza,Lamadrid,Lamadrid,Forster,559,12638
DOTK168820FFNARP96,S-00002,Colby,Smardon,Arrault,1974-11-29,Aguascalientes,Palo Alto,Palo Alto,Menomonie,616,79836
ZZKV057151LENQWV91,S-00005,Suzann,Bonefant,Ellins,1984-09-30,Nuevo Leon,Pesqueria,Pesqueria,Fordem,554,01876
VZBQ281438AMCUCQ27,S-00005,Karee,Moreinis,Rove,1990-03-12,Nuevo Leon,Pesqueria,Pesqueria,Westport,047,27300
KVEK276217CIMBVT31,S-00015,Tam,Hargroves,Faulconbridge,1991-08-27,Hidalgo,Pachuca de Soto,Pachuca de Soto,Moulton,743,85460
LJDG153637LFCVDV23,S-00015,Haskel,Jagielski,Jaeggi,1992-08-10,Hidalgo,Pachuca de Soto,Pachuca de Soto,8th,517,05444
XXIK899052XOWCYB13,S-00014,Denni,Licari,Caudell,1984-09-22,Tamaulipas,Ciudad Rio Bravo,Ciudad Rio Bravo,Raven,102,17750
DQKS072661VJCXHK53,S-00002,Armin,Duigan,Bettenay,1981-04-08,Aguascalientes,Palo Alto,Palo Alto,Commercial,438,13791
LMNV188148BMLESC44,S-00005,Quint,Laidler,Eastby,1988-09-27,Nuevo Leon,Pesqueria,Pesqueria,Macpherson,114,16250
ZHXV763400SIHVWU12,S-00005,Denis,Treves,Churches,1977-08-23,Nuevo Leon,Pesqueria,Pesqueria,Hanson,044,94608
HMQW235604IWLPDD52,S-00001,Barton,Heisman,Bryceson,1981-08-13,Distrito Federal,N/A,Churubusco,Paget,385,28034
OUZE244432BOZJLX74,S-00002,Gwenore,Minister,Huerta,1977-12-04,Aguascalientes,Palo Alto,Palo Alto,Ramsey,075,82425
ZRJP584722TZZZBK46,S-00011,Ema,Boscott,Hamblen,1974-10-17,Coahuila de Zaragoza,Lamadrid,Lamadrid,Moland,959,91145
OJUQ674499FSZGGC76,S-00004,Tandie,Aynsley,Giscken,1983-12-26,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Karstens,437,45012
RNPN863019NYCICM33,S-00005,Aleksandr,Eason,Strain,1995-12-01,Nuevo Leon,Pesqueria,Pesqueria,Lyons,952,72813
AKIJ904025YDGKXC22,S-00012,Nowell,Bleue,Matthiesen,1997-01-01,Morelos,Cuernavaca,Cuernavaca,Lien,998,71547
ZKMZ897896YRMGHQ15,S-00011,Chaddie,Espinay,Mewes,1977-11-04,Coahuila de Zaragoza,Lamadrid,Lamadrid,Park Meadow,258,18143
YIPF328714URJMHP35,S-00015,Dov,Crichton,Limrick,1989-08-23,Hidalgo,Pachuca de Soto,Pachuca de Soto,Emmet,078,57220
ANZJ466260LWWEOG16,S-00015,Cele,Bunworth,Custard,1999-07-19,Hidalgo,Pachuca de Soto,Pachuca de Soto,Carberry,293,21662
TCJH246743NIMEGZ21,S-00011,Fiona,Coldrick,O'Duilleain,1992-08-09,Coahuila de Zaragoza,Lamadrid,Lamadrid,7th,865,99424
YAWH451548RPDJXH43,S-00004,Brady,Bizzey,Webb,1977-12-08,Puebla,San Pablo de las Tunas,San Pablo de las Tunas,Scott,060,91178
QYRH618220OGJZHZ70,S-00009,Winnie,Nesbeth,Dow,1998-09-18,Chihuahua,Juan Aldama,Juan Aldama,Basil,782,59900
KDZC631484XHIYOG72,S-00010,Hermione,Condit,Werrilow,1983-07-01,Guerrero,Copala,Copala,Crowley,425,26130
WABD307896FFZXSH40,S-00006,Emmie,Cudbertson,Hurkett,1978-12-20,Baja California,Tijuana,Tijuana,4th,319,98975
GCRJ701949DTHFTX68,S-00006,Mariel,Loyndon,Shill,1997-09-22,Baja California,Tijuana,Tijuana,Anhalt,312,70036
FOPM096835TSSWKK51,S-00005,Fern,Aimer,Germon,1978-09-11,Nuevo Leon,Pesqueria,Pesqueria,Columbus,152,67978
